"","effect_sizes","N_t","N_pers","pre_slope","step","slope","step2","bias_pre_slope","bias_step","bias_slope","bias_step2","Precision_pre_slope","Precision_step","Precision_slope","Precision_step2"
"82",0.025,10,300,1,0.049,0.036,0.033,-0.00294101680076173,-0.0267603162289425,-0.0108405696465128,0.0916622983622474,0.011477240452694,0.0455505457353724,0.0216809138669537,0.0784776744490563
"83",0.025,10,500,1,0.059,0.042,0.045,-0.00247322507306991,-0.0435977955247397,0.0479145697444944,-0.180580224129115,0.00934811858289434,0.0355847481355034,0.0167562298892786,0.0651491853885004
"84",0.025,10,700,1,0.052,0.054,0.038,-0.0119867301041212,0.0165274977919897,0.022952072296954,0.0210748124794943,0.00732196396789321,0.0303811079887278,0.0139481959111231,0.0534351164604611
"85",0.025,10,900,1,0.061,0.077,0.046,-0.00434119696645782,0.0316094712172961,-0.013858224540687,0.0884894892326537,0.00647913481819204,0.0274417650452139,0.0125246486949516,0.048355859561128
"86",0.025,10,1100,1,0.076,0.083,0.049,0.010539215041991,-0.036752028703141,0.0028702042996499,-0.0914321782396297,0.00627681220333696,0.0245695012490974,0.0114691591247076,0.0422541310675984
"87",0.025,10,1300,1,0.076,0.096,0.047,-0.00301062727796272,0.00159817245707692,0.00666889683222886,-0.0072509325378016,0.00555071937682264,0.0221945487714486,0.010959034549642,0.0401008533805091
"88",0.025,10,1500,1,0.064,0.107,0.056,-0.00922320851885987,0.0142468184921087,0.00548639883826423,0.0423489814569645,0.00530074440805611,0.0205393354227609,0.00962498843405899,0.0367410212597219
"89",0.025,12,100,1,0.051,0.038,0.037,0.0150336094259146,-0.0279789013715668,0.0228113992999843,-0.1807408355924,0.0153318773976375,0.0777493489183337,0.0309008619455062,0.149730364623496
"90",0.025,12,300,1,0.046,0.054,0.045,0.00915957530496362,0.0238425847171661,-0.000123896539328399,-0.0185982973895336,0.00856941988338653,0.043012238367791,0.018386585812994,0.0847216639525162
"91",0.025,12,500,1,0.059,0.092,0.052,-0.00208804085914756,0.0141929135546807,-0.00138070957548676,0.0614895658907511,0.00719665736636253,0.0348570136122703,0.0151802074310131,0.0684031852954426
